n,name_test_case,best_fitness,best_solution,avg_fitness,avg_run_time,num of drone,num of trucks
21,C101_0.5.dat,317.0,"[[[[0, [1, 2, 5, 3, 11, 19, 13, 4]], [7, [7, 10, 14, 16]], [3, []], [5, []], [4, []], [1, []], [2, []], [6, [6, 9, 8, 20]], [9, []], [8, []], [10, []], [11, []], [13, []], [17, [17, 18, 15, 12]], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [20, []]]], [[[7, [7, 10, 14, 16]]], [[6, [6, 9, 8, 20]]], [[17, [17, 18, 15, 12]]]]]",322.6498756211209,270.77570099830626,1,1
21,C101_1.5.dat,389.0,"[[[[0, [5, 4, 3, 2, 1, 10, 13, 11]], [1, []], [2, []], [4, [19, 18, 16, 7]], [3, []], [5, []], [7, []], [10, []], [11, []], [6, [6, 8, 9, 20]], [8, []], [9, []], [12, [12, 17, 15, 14]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [20, []]]], [[[4, [19, 18, 16, 7]]], [[6, [6, 8, 9, 20]]], [[12, [12, 17, 15, 14]]]]]",390.51245154965966,300.22023811340335,1,1
21,C101_1.dat,350.0,"[[[[0, [2, 1, 13, 3, 4, 19, 16, 11, 5]], [5, []], [10, [10, 7, 18]], [7, []], [3, []], [4, []], [1, []], [2, []], [6, [6, 8, 9, 17]], [8, []], [9, []], [11, []], [13, []], [17, []], [18, []], [19, []], [15, [15, 14, 12, 20]], [16, []], [14, []], [12, []], [20, []]]], [[[10, [10, 7, 18]]], [[6, [6, 8, 9, 17]]], [[15, [15, 14, 12, 20]]]]]",354.10997512422415,294.82558619976044,1,1
21,C101_2.5.dat,461.8847091308183,"[[[[0, [1, 11]], [1, [3, 5, 4, 2]], [2, []], [3, []], [5, []], [10, [10, 13, 16]], [20, [20, 19, 18, 7]], [13, [15, 14, 17, 8]], [17, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, [12, 6, 9]], [11, []], [9, []], [8, []], [4, []], [6, []], [7, []]]], [[[1, [3, 5, 4, 2]]], [[10, [10, 13, 16]]], [[20, [20, 19, 18, 7]]], [[13, [15, 14, 17, 8]]], [[12, [12, 6, 9]]]]]",475.50963748184734,309.813166975975,1,1
21,C101_2.dat,426.3016516106934,"[[[[0, [1]], [1, [2, 11, 16]], [2, []], [11, []], [10, [13, 10, 19, 5]], [20, [20, 7, 14, 18]], [13, []], [17, [17, 15, 12, 8]], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [9, [9, 3, 4, 6]], [8, []], [7, []], [5, []], [3, []], [4, []], [6, []]]], [[[1, [2, 11, 16]]], [[10, [13, 10, 19, 5]]], [[20, [20, 7, 14, 18]]], [[17, [17, 15, 12, 8]]], [[9, [9, 3, 4, 6]]]]]",434.2376495327026,305.79431719779967,1,1
21,C101_3.dat,486.8847091308183,"[[[[0, [1, 11]], [11, []], [4, [4, 2, 3, 5]], [1, []], [2, []], [3, [16, 10]], [5, []], [10, []], [20, [20, 13, 19, 7]], [13, [17, 18, 15, 14]], [17, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, [12, 8, 9, 6]], [9, []], [8, []], [6, []], [7, []]]], [[[4, [4, 2, 3, 5]]], [[3, [16, 10]]], [[20, [20, 13, 19, 7]]], [[13, [17, 18, 15, 14]]], [[12, [12, 8, 9, 6]]]]]",501.5387120314229,310.23820755481717,1,1
21,C201_0.5.dat,483.13274595042157,"[[[[0, [1, 16, 13]], [5, [5, 4, 2, 19]], [2, []], [4, []], [3, [3, 7, 17, 14]], [7, []], [1, []], [13, []], [17, [15, 12, 18]], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [9, [9, 10, 11, 20]], [11, []], [10, []], [8, [8, 6]], [6, []], [20, []]]], [[[5, [5, 4, 2, 19]]], [[3, [3, 7, 17, 14]]], [[17, [15, 12, 18]]], [[9, [9, 10, 11, 20]]], [[8, [8, 6]]]]]",492.2220294919851,281.3132292509079,1,1
21,C201_1.5.dat,531.9072480941475,"[[[[0, [1, 2, 13, 11]], [5, [5, 19, 3, 4]], [2, []], [3, []], [4, []], [7, [7, 14, 16, 18]], [1, []], [12, [12, 15, 17, 9]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [9, []], [11, [10, 20, 8, 6]], [10, []], [8, []], [6, []], [20, []]]], [[[5, [5, 19, 3, 4]]], [[7, [7, 14, 16, 18]]], [[12, [12, 15, 17, 9]]], [[11, [10, 20, 8, 6]]]]]",539.8145050877209,333.159761929512,1,1
21,C201_1.dat,490.4089406341646,"[[[[0, [1]], [1, [13, 3, 4]], [3, []], [4, []], [7, [7, 10, 2, 5]], [2, []], [5, [9, 12, 14, 8]], [8, []], [10, []], [11, [11, 16, 19, 18]], [9, []], [13, []], [12, []], [14, []], [16, [15, 17, 6, 20]], [15, []], [19, []], [18, []], [17, []], [6, []], [20, []]]], [[[1, [13, 3, 4]]], [[7, [7, 10, 2, 5]]], [[5, [9, 12, 14, 8]]], [[11, [11, 16, 19, 18]]], [[16, [15, 17, 6, 20]]]]]",503.52662567930173,327.82143578529354,1,1
21,C201_2.5.dat,633.3238075793812,"[[[[0, [1, 13, 11]], [11, []], [13, []], [1, [10, 5, 4, 3]], [4, []], [3, []], [7, [7, 2, 18]], [2, []], [5, [16, 14]], [8, [8, 19, 15, 6]], [10, []], [9, [9, 12, 17, 20]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [6, []], [20, []]]], [[[1, [10, 5, 4, 3]]], [[7, [7, 2, 18]]], [[5, [16, 14]]], [[8, [8, 19, 15, 6]]], [[9, [9, 12, 17, 20]]]]]",646.0505192282152,333.4259500026703,1,1
21,C201_2.dat,573.9072480941475,"[[[[0, [2]], [1, [3, 4, 11, 1]], [3, []], [4, []], [7, [7, 5, 13, 14]], [2, []], [5, []], [8, [8, 10, 18, 16]], [10, []], [11, []], [9, [9, 17, 12, 15]], [13, []], [12, []], [14, []], [16, []], [15, [6, 20, 19]], [19, []], [18, []], [17, []], [6, []], [20, []]]], [[[1, [3, 4, 11, 1]]], [[7, [7, 5, 13, 14]]], [[8, [8, 10, 18, 16]]], [[9, [9, 17, 12, 15]]], [[15, [6, 20, 19]]]]]",590.0447352767839,331.4014140605927,1,1
21,C201_3.dat,690.9072480941475,"[[[[0, [1, 13]], [13, []], [1, []], [2, [2, 3, 19, 16]], [5, [5, 4, 10]], [4, []], [3, []], [7, [7, 11, 18, 14]], [11, []], [10, []], [20, [20, 6, 15, 17]], [6, []], [17, []], [18, [12, 9, 8]], [19, []], [15, []], [16, []], [14, []], [12, []], [9, []], [8, []]]], [[[2, [2, 3, 19, 16]]], [[5, [5, 4, 10]]], [[7, [7, 11, 18, 14]]], [[20, [20, 6, 15, 17]]], [[18, [12, 9, 8]]]]]",703.6188994289533,339.7243733644485,1,1
21,R101_0.5.dat,708.0,"[[[[0, [16]], [2, [13, 2]], [4, [4, 3, 10]], [12, [12, 9, 19, 8]], [3, []], [9, [20, 7, 11, 14]], [20, []], [1, [1, 5, 18]], [10, []], [19, []], [11, []], [7, []], [18, []], [8, []], [5, []], [17, [17, 15, 6]], [16, []], [14, []], [15, []], [13, []], [6, []]]], [[[2, [13, 2]]], [[4, [4, 3, 10]]], [[12, [12, 9, 19, 8]]], [[9, [20, 7, 11, 14]]], [[1, [1, 5, 18]]], [[17, [17, 15, 6]]]]]",710.9703195470644,197.38508961200714,1,1
21,R101_1.5.dat,753.5941525389901,"[[[[0, []], [1, [1]], [4, [4, 16, 2]], [2, []], [16, [14, 5, 13, 7]], [14, []], [15, [15, 20, 10, 19]], [13, [6, 18, 12, 8]], [6, []], [5, []], [17, [17, 11, 9, 3]], [8, []], [18, []], [7, []], [11, []], [19, []], [10, []], [20, []], [9, []], [3, []], [12, []]]], [[[1, [1]]], [[4, [4, 16, 2]]], [[16, [14, 5, 13, 7]]], [[15, [15, 20, 10, 19]]], [[13, [6, 18, 12, 8]]], [[17, [17, 11, 9, 3]]]]]",774.6147478387076,210.8433681488037,1,1
21,R101_1.dat,734.5941525389901,"[[[[0, [1]], [1, []], [4, [4, 2, 5, 3]], [2, []], [13, [13, 16, 14, 18]], [15, [15, 9, 6, 20]], [14, []], [16, []], [17, [7, 8, 17, 12]], [5, []], [6, []], [18, [11, 19, 10]], [8, []], [7, []], [11, []], [19, []], [10, []], [20, []], [9, []], [3, []], [12, []]]], [[[4, [4, 2, 5, 3]]], [[13, [13, 16, 14, 18]]], [[15, [15, 9, 6, 20]]], [[17, [7, 8, 17, 12]]], [[18, [11, 19, 10]]]]]",742.4622970276392,200.61575675010678,1,1
21,R101_2.5.dat,895.4138126514911,"[[[[0, [1, 2, 11, 13]], [1, [5, 16]], [4, [4, 3, 19]], [2, []], [16, [14, 18, 10]], [14, []], [15, [15, 7, 20]], [13, []], [6, [6, 17]], [5, []], [17, []], [8, [8, 12, 9]], [18, []], [7, []], [11, []], [19, []], [10, []], [20, []], [9, []], [3, []], [12, []]]], [[[1, [5, 16]]], [[4, [4, 3, 19]]], [[16, [14, 18, 10]]], [[15, [15, 7, 20]]], [[6, [6, 17]]], [[8, [8, 12, 9]]]]]",896.7326431592891,203.86326432228088,1,1
21,R101_2.dat,810.4294338386553,"[[[[0, [1]], [1, [13, 16]], [4, [4, 2, 5]], [2, []], [16, []], [14, [14, 18, 19, 11]], [15, [15, 20, 7, 10]], [13, []], [6, [6, 17, 8]], [5, []], [17, []], [8, [9, 3, 12]], [18, []], [7, []], [19, []], [11, []], [10, []], [20, []], [9, []], [3, []], [12, []]]], [[[1, [13, 16]]], [[4, [4, 2, 5]]], [[14, [14, 18, 19, 11]]], [[15, [15, 20, 7, 10]]], [[6, [6, 17, 8]]], [[8, [9, 3, 12]]]]]",822.6841627364051,200.15150270462036,1,1
21,R101_3.dat,966.0,"[[[[0, [16]], [16, []], [2, [11, 2, 13, 5]], [4, [4, 1, 3, 19]], [3, []], [1, [10]], [10, []], [18, [18, 14, 7]], [14, []], [15, [15]], [13, []], [6, [6, 17, 8, 20]], [5, []], [17, []], [8, [12, 9]], [7, []], [19, []], [11, []], [20, []], [9, []], [12, []]]], [[[2, [11, 2, 13, 5]]], [[4, [4, 1, 3, 19]]], [[1, [10]]], [[18, [18, 14, 7]]], [[15, [15]]], [[6, [6, 17, 8, 20]]], [[8, [12, 9]]]]]",979.4724313863418,204.75356330871583,1,1
21,RC101_0.5.dat,581.0499687890016,"[[[[0, [13, 11, 1, 16]], [19, [18, 19, 20, 14]], [18, []], [20, []], [9, [9, 12, 17, 15]], [13, []], [15, []], [16, []], [17, []], [14, []], [12, []], [11, []], [10, [10, 4, 3, 5]], [7, [7, 8, 2, 6]], [6, []], [8, []], [4, []], [5, []], [3, []], [1, []], [2, []]]], [[[19, [18, 19, 20, 14]]], [[9, [9, 12, 17, 15]]], [[10, [10, 4, 3, 5]]], [[7, [7, 8, 2, 6]]]]]",586.3049968789002,154.39295802116393,1,1
21,RC101_1.5.dat,686.3016516106934,"[[[[0, [4, 5, 3, 2, 1]], [2, [10, 13, 11, 16]], [3, []], [1, []], [5, []], [4, []], [6, [6, 7, 8]], [7, []], [8, []], [12, [12, 14, 17, 15]], [14, []], [17, []], [16, []], [15, []], [11, []], [10, []], [13, []], [9, [9, 18, 19, 20]], [20, []], [19, []], [18, []]]], [[[2, [10, 13, 11, 16]]], [[6, [6, 7, 8]]], [[12, [12, 14, 17, 15]]], [[9, [9, 18, 19, 20]]]]]",686.3016516106935,157.36103360652922,1,1
21,RC101_1.dat,608.1074952121921,"[[[[0, [1, 16, 11, 13]], [2, [2, 3, 5, 4]], [3, []], [1, []], [5, []], [4, []], [6, [6, 8, 7, 10]], [8, []], [7, []], [12, [12, 14, 17, 15]], [14, []], [17, []], [16, []], [15, []], [13, []], [11, []], [10, []], [9, [9, 19, 20, 18]], [20, []], [18, []], [19, []]]], [[[2, [2, 3, 5, 4]]], [[6, [6, 8, 7, 10]]], [[12, [12, 14, 17, 15]]], [[9, [9, 19, 20, 18]]]]]",608.846665044741,154.39832496643066,1,1
21,RC101_2.5.dat,820.1570338639194,"[[[[0, [10, 11, 16, 19, 13, 5]], [19, [18, 1, 2]], [18, []], [20, [20, 7, 14]], [9, [9, 15, 17, 3]], [10, []], [11, []], [13, []], [15, []], [16, []], [17, []], [14, [6, 8, 4, 12]], [12, []], [7, []], [6, []], [8, []], [4, []], [5, []], [3, []], [1, []], [2, []]]], [[[19, [18, 1, 2]]], [[20, [20, 7, 14]]], [[9, [9, 15, 17, 3]]], [[14, [6, 8, 4, 12]]]]]",825.575963655474,149.17160835266114,1,1
21,RC101_2.dat,756.9805375234334,"[[[[0, [5, 2, 16, 1, 11]], [11, []], [10, [10, 3, 13, 4]], [2, []], [3, []], [1, []], [5, []], [4, []], [8, [8, 20, 6, 7]], [7, []], [6, []], [12, [12, 14, 17, 15]], [14, []], [17, []], [16, []], [15, []], [13, []], [9, [9, 18, 19]], [20, []], [19, []], [18, []]]], [[[10, [10, 3, 13, 4]]], [[8, [8, 20, 6, 7]]], [[12, [12, 14, 17, 15]]], [[9, [9, 18, 19]]]]]",761.1695402019673,155.04853179454804,1,1
21,RC101_3.dat,890.6227766016838,"[[[[0, [16, 10, 4, 5, 1, 2, 18, 19]], [18, []], [19, []], [20, [20, 11, 13, 14]], [11, []], [10, [9, 15, 17, 6]], [9, []], [13, []], [15, []], [16, []], [17, []], [14, []], [12, [12, 7, 3, 8]], [7, []], [6, []], [8, []], [4, []], [5, []], [3, []], [1, []], [2, []]]], [[[20, [20, 11, 13, 14]]], [[10, [9, 15, 17, 6]]], [[12, [12, 7, 3, 8]]]]]",892.7991834254127,142.13139796257022,1,1
